map_name,map_size,obstacles_number,num_agents,solver,solved,soc,makespan,simulation_time
empty-48-48.map,2304,0,50,DCMAPF,True,1629,65,3.3
empty-48-48.map,2304,0,50,DCMAPF,True,1705,69,3.4
empty-48-48.map,2304,0,50,DCMAPF,True,1639,70,3.5
empty-48-48.map,2304,0,50,DCMAPF,True,1724,75,3.8
empty-48-48.map,2304,0,50,DCMAPF,True,1909,80,3.9
empty-48-48.map,2304,0,50,DCMAPF,True,1595,58,4.3
empty-48-48.map,2304,0,50,DCMAPF,True,1872,66,5.0
empty-48-48.map,2304,0,50,DCMAPF,True,1680,66,5.2
empty-48-48.map,2304,0,50,DCMAPF,True,1680,71,5.2
empty-48-48.map,2304,0,50,DCMAPF,True,1839,79,5.6
empty-48-48.map,2304,0,50,DCMAPF,True,1446,60,3.0
empty-48-48.map,2304,0,50,DCMAPF,True,1397,62,3.1
empty-48-48.map,2304,0,50,DCMAPF,True,1748,63,3.4
empty-48-48.map,2304,0,50,DCMAPF,True,1773,73,3.7
empty-48-48.map,2304,0,50,DCMAPF,True,1682,73,3.6
empty-48-48.map,2304,0,50,DCMAPF,True,1519,64,3.2
empty-48-48.map,2304,0,50,DCMAPF,True,1395,69,3.4
empty-48-48.map,2304,0,50,DCMAPF,True,1640,80,3.6
empty-48-48.map,2304,0,50,DCMAPF,True,1616,65,3.6
empty-48-48.map,2304,0,50,DCMAPF,True,1694,70,3.7
empty-48-48.map,2304,0,50,DCMAPF,True,1633,68,3.3
empty-48-48.map,2304,0,50,DCMAPF,True,1655,74,3.3
empty-48-48.map,2304,0,50,DCMAPF,True,1378,79,3.6
empty-48-48.map,2304,0,50,DCMAPF,True,1868,68,3.7
empty-48-48.map,2304,0,50,DCMAPF,True,1793,77,3.7
empty-48-48.map,2304,0,100,DCMAPF,True,3272,72,9.9
empty-48-48.map,2304,0,100,DCMAPF,True,3373,79,10.0
empty-48-48.map,2304,0,100,DCMAPF,True,3403,80,10.1
empty-48-48.map,2304,0,100,DCMAPF,True,3199,83,10.2
empty-48-48.map,2304,0,100,DCMAPF,True,3518,80,10.4
empty-48-48.map,2304,0,100,DCMAPF,True,3279,70,8.8
empty-48-48.map,2304,0,100,DCMAPF,True,3449,68,9.1
empty-48-48.map,2304,0,100,DCMAPF,True,3533,71,9.7
empty-48-48.map,2304,0,100,DCMAPF,True,3290,80,9.7
empty-48-48.map,2304,0,100,DCMAPF,True,3639,80,10.2
empty-48-48.map,2304,0,100,DCMAPF,True,2858,63,8.5
empty-48-48.map,2304,0,100,DCMAPF,True,3515,68,9.6
empty-48-48.map,2304,0,100,DCMAPF,True,3127,74,10.0
empty-48-48.map,2304,0,100,DCMAPF,True,3273,72,10.0
empty-48-48.map,2304,0,100,DCMAPF,True,3402,79,10.4
empty-48-48.map,2304,0,100,DCMAPF,True,3225,66,9.7
empty-48-48.map,2304,0,100,DCMAPF,True,3249,69,9.7
empty-48-48.map,2304,0,100,DCMAPF,True,3560,74,10.3
empty-48-48.map,2304,0,100,DCMAPF,True,3379,76,10.4
empty-48-48.map,2304,0,100,DCMAPF,True,3405,83,11.0
empty-48-48.map,2304,0,100,DCMAPF,True,3624,74,10.0
empty-48-48.map,2304,0,100,DCMAPF,True,3033,82,10.5
empty-48-48.map,2304,0,100,DCMAPF,True,3152,81,10.7
empty-48-48.map,2304,0,100,DCMAPF,True,3626,82,10.9
empty-48-48.map,2304,0,100,DCMAPF,True,3369,79,11.1
empty-48-48.map,2304,0,150,DCMAPF,True,5175,76,22.5
empty-48-48.map,2304,0,150,DCMAPF,True,5148,79,22.6
empty-48-48.map,2304,0,150,DCMAPF,True,5270,79,23.0
empty-48-48.map,2304,0,150,DCMAPF,True,5321,80,23.0
empty-48-48.map,2304,0,150,DCMAPF,True,4989,86,23.3
empty-48-48.map,2304,0,150,DCMAPF,True,5063,70,19.8
empty-48-48.map,2304,0,150,DCMAPF,True,5110,77,21.3
empty-48-48.map,2304,0,150,DCMAPF,True,5137,81,21.5
empty-48-48.map,2304,0,150,DCMAPF,True,5135,83,21.7
empty-48-48.map,2304,0,150,DCMAPF,True,5593,85,22.4
empty-48-48.map,2304,0,150,DCMAPF,True,4487,73,22.7
empty-48-48.map,2304,0,150,DCMAPF,True,4854,74,23.9
empty-48-48.map,2304,0,150,DCMAPF,True,5399,76,24.1
empty-48-48.map,2304,0,150,DCMAPF,True,4805,77,24.5
empty-48-48.map,2304,0,150,DCMAPF,True,5214,79,25.0
empty-48-48.map,2304,0,150,DCMAPF,True,4941,69,19.5
empty-48-48.map,2304,0,150,DCMAPF,True,5413,79,20.8
empty-48-48.map,2304,0,150,DCMAPF,True,5179,78,20.9
empty-48-48.map,2304,0,150,DCMAPF,True,5002,89,21.9
empty-48-48.map,2304,0,150,DCMAPF,True,5224,90,22.0
empty-48-48.map,2304,0,150,DCMAPF,True,5416,72,18.4
empty-48-48.map,2304,0,150,DCMAPF,True,5276,79,18.8
empty-48-48.map,2304,0,150,DCMAPF,True,5020,81,19.7
empty-48-48.map,2304,0,150,DCMAPF,True,4801,84,20.0
empty-48-48.map,2304,0,150,DCMAPF,True,5502,83,20.3
empty-48-48.map,2304,0,200,DCMAPF,True,7112,82,34.3
empty-48-48.map,2304,0,200,DCMAPF,True,7262,80,33.8
empty-48-48.map,2304,0,200,DCMAPF,True,6978,82,34.4
empty-48-48.map,2304,0,200,DCMAPF,True,7179,79,34.7
empty-48-48.map,2304,0,200,DCMAPF,True,6771,87,35.4
